title,price,header,kw,sid,linkwithprice,productid,categoryId,desc
Buderus Logano G125 BE Eco-17,2142.0, Buderus Logano G125 BE Eco-17," 20,2 ",9701,/preisvergleich/Relocate/513765152.html?categoryId=18406&pos=1&price=2142.0&productid=1083713&sid=9701&type=offer,1083713,18406, 
Buderus Logano G125 BE Eco-17,2142.0, Buderus Logano G125 BE Eco-17," 20,2 ",9701,/preisvergleich/Relocate/441265494.html?categoryId=18406&pos=2&price=2142.0&productid=1083713&sid=9701&type=offer,1083713,18406, 
Buderus Logano G125 BE Eco-17,2398.48, Buderus Logano G125 BE Eco-17," 20,2 ",12041,/preisvergleich/Relocate/525668657.html?categoryId=18406&pos=3&price=2398.48&productid=1083713&sid=12041&type=offer,1083713,18406, 
Buderus Logano G125 BE Eco-17,2492.41, Buderus Logano G125 BE Eco-17," 20,2 ",299105,/preisvergleich/Relocate/528132534.html?categoryId=18406&pos=4&price=2492.41&productid=1083713&sid=299105&type=offer,1083713,18406," Bu­de­rus Logano G125-17 BE Eco,2107M"
Viessmann Vitola 200 (27 kW),1354.45, Viessmann Vitola 200 (27 kW), 22 ,9701,/preisvergleich/Relocate/451184119.html?categoryId=18406&pos=1&price=1354.45&productid=1238936&sid=9701&type=offer,1238936,18406, 
Viessmann Vitola 200 (18 kW),1210.25, Viessmann Vitola 200 (18 kW), 18 ,9701,/preisvergleich/Relocate/451184957.html?categoryId=18406&pos=1&price=1210.25&productid=1064514&sid=9701&type=offer,1064514,18406, 
Buderus Logano G125 BE Eco-17,9440.0, Buderus Logano G125 BE Eco-17," 20,2 ",12041,/preisvergleich/Relocate/255747505.html?categoryId=18406&pos=5&price=9440.0&productid=1083713&sid=12041&type=offer,1083713,18406, 
Viessmann Vitola 200 (27 kW),1399.9, Viessmann Vitola 200 (27 kW), 22 ,294528,/preisvergleich/Relocate/559969142.html?categoryId=18406&pos=2&price=1399.9&productid=1238936&sid=294528&type=offer,1238936,18406, Vitola 200 27 kW mit Vi­to­tro­nic 100 KC2B und Kes­sel­tür
Viessmann Vitola 200 (18 kW),1323.0, Viessmann Vitola 200 (18 kW), 18 ,9701,/preisvergleich/Relocate/536806651.html?categoryId=18406&pos=2&price=1323.0&productid=1064514&sid=9701&type=offer,1064514,18406, 
Viessmann Vitola 200 (27 kW),1480.0, Viessmann Vitola 200 (27 kW), 22 ,9701,/preisvergleich/Relocate/536806649.html?categoryId=18406&pos=3&price=1480.0&productid=1238936&sid=9701&type=offer,1238936,18406, 
Viessmann Vitola 200 (18 kW),1499.6, Viessmann Vitola 200 (18 kW), 18 ,293515,/preisvergleich/Relocate/574210950.html?categoryId=18406&pos=3&price=1499.6&productid=1064514&sid=293515&type=offer,1064514,18406, Viess­mann Vitola 200 mit 18 KW
Buderus Logano G125 Eco-21,1315.0, Buderus Logano G125 Eco-21, 27 ,9701,/preisvergleich/Relocate/602463217.html?categoryId=18406&pos=1&price=1315.0&productid=1064559&sid=9701&type=offer,1064559,18406, 
Viessmann Vitola 200 (27 kW),1565.8, Viessmann Vitola 200 (27 kW), 22 ,293515,/preisvergleich/Relocate/574210261.html?categoryId=18406&pos=4&price=1565.8&productid=1238936&sid=293515&type=offer,1238936,18406, Viess­mann Vitola 200 mit 27 KW
Viessmann Vitola 200 (18 kW),1598.92, Viessmann Vitola 200 (18 kW), 18 ,294528,/preisvergleich/Relocate/559969139.html?categoryId=18406&pos=4&price=1598.92&productid=1064514&sid=294528&type=offer,1064514,18406, Vitola 200 18 kW mit Vi­to­tro­nic 200 KO1B und Kes­sel­tür
Buderus Logano G125 Eco-21,1315.0, Buderus Logano G125 Eco-21, 27 ,9701,/preisvergleich/Relocate/438870372.html?categoryId=18406&pos=2&price=1315.0&productid=1064559&sid=9701&type=offer,1064559,18406, 
Viessmann Vitola 200 (27 kW),2541.87, Viessmann Vitola 200 (27 kW), 22 ,294528,/preisvergleich/Relocate/559969137.html?categoryId=18406&pos=5&price=2541.87&productid=1238936&sid=294528&type=offer,1238936,18406, Öl­heiz­kes­sel mit Ge­blä­se­bren­ner 27 kW m. Vi­to­tro­nic 200 KO1B + Vit­of­la­me 200
Viessmann Vitola 200 (18 kW),2448.0, Viessmann Vitola 200 (18 kW), 18 ,223861,/preisvergleich/Relocate/463226301.html?categoryId=18406&pos=5&price=2448.0&productid=1064514&sid=223861&type=offer,1064514,18406, Viess­mann Öl­kes­sel Vitola 200 18 kW Öl­hei­zung / Öl­heiz­kes­sel
"Viessmann Vitorondens 200-T (20,2 kW)",3455.99," Viessmann Vitorondens 200-T (20,2 kW)"," 24,6 ",276812,/preisvergleich/Relocate/387844098.html?categoryId=18406&pos=1&price=3455.99&productid=2835975&sid=276812&type=offer,2835975,18406," Viess­mann Vi­to­ron­dens 200-T mit Vi­to­tro­nic 200 20,2 kW, raum­luft­ab­hän­gig"
"Viessmann Vitorondens 200-T (24,6 kW)",3519.99," Viessmann Vitorondens 200-T (24,6 kW)", 22 ,276812,/preisvergleich/Relocate/387840247.html?categoryId=18406&pos=1&price=3519.99&productid=2835996&sid=276812&type=offer,2835996,18406," Viess­mann Vi­to­ron­dens 200-T mit Vi­to­tro­nic 200 24,6 kW, raum­luft­ab­hän­gig"
Buderus Logano G125 Eco-21,1457.62, Buderus Logano G125 Eco-21, 27 ,12041,/preisvergleich/Relocate/255747778.html?categoryId=18406&pos=3&price=1457.62&productid=1064559&sid=12041&type=offer,1064559,18406, 
Viessmann Vitola 200 (27 kW),2628.0, Viessmann Vitola 200 (27 kW), 22 ,223861,/preisvergleich/Relocate/287712240.html?categoryId=18406&pos=6&price=2628.0&productid=1238936&sid=223861&type=offer,1238936,18406, Viess­mann Öl­kes­sel Vitola 200 27 kW Öl­hei­zung / Öl­heiz­kes­sel
Viessmann Vitola 200 (18 kW),2507.66, Viessmann Vitola 200 (18 kW), 18 ,294528,/preisvergleich/Relocate/597054713.html?categoryId=18406&pos=6&price=2507.66&productid=1064514&sid=294528&type=offer,1064514,18406, Vitola 200 18KW mit Bren­ner Vit­of­lam­me 200 Vi­to­tro­nic 200
"Viessmann Vitorondens 200-T (20,2 kW)",3476.0," Viessmann Vitorondens 200-T (20,2 kW)"," 24,6 ",9701,/preisvergleich/Relocate/511176785.html?categoryId=18406&pos=2&price=3476.0&productid=2835975&sid=9701&type=offer,2835975,18406, 
"Viessmann Vitorondens 200-T (24,6 kW)",3611.0," Viessmann Vitorondens 200-T (24,6 kW)", 22 ,9701,/preisvergleich/Relocate/444524187.html?categoryId=18406&pos=2&price=3611.0&productid=2835996&sid=9701&type=offer,2835996,18406, 
Buderus Logano G125 Eco-21,1751.81, Buderus Logano G125 Eco-21, 27 ,299105,/preisvergleich/Relocate/528132354.html?categoryId=18406&pos=4&price=1751.81&productid=1064559&sid=299105&type=offer,1064559,18406," Bu­de­rus Logano G125-21 Eco, 2107M"
Buderus Logano G125 BE Eco,2142.0, Buderus Logano G125 BE Eco, 17 ,9701,/preisvergleich/Relocate/513765152.html?categoryId=18406&pos=1&price=2142.0&productid=2907001&sid=9701&type=offer,2907001,18406, 
Viessmann Vitola 200 (27 kW),3118.0, Viessmann Vitola 200 (27 kW), 22 ,223861,/preisvergleich/Relocate/287712491.html?categoryId=18406&pos=7&price=3118.0&productid=1238936&sid=223861&type=offer,1238936,18406, Viess­mann Öl­hei­zung Vitola 200 27 kW Öl­heiz­kes­sel
Viessmann Vitola 200 (18 kW),2938.0, Viessmann Vitola 200 (18 kW), 18 ,223861,/preisvergleich/Relocate/287712790.html?categoryId=18406&pos=7&price=2938.0&productid=1064514&sid=223861&type=offer,1064514,18406, Viess­mann Öl­hei­zung Vitola 200 18 kW Öl­heiz­kes­sel
"Viessmann Vitorondens 200-T (28,9 kW)",3585.99," Viessmann Vitorondens 200-T (28,9 kW)", 22 ,276812,/preisvergleich/Relocate/387840318.html?categoryId=18406&pos=1&price=3585.99&productid=2835997&sid=276812&type=offer,2835997,18406," Viess­mann Vi­to­ron­dens 200-T mit Vi­to­tro­nic 200 28,9 kW, raum­luft­ab­hän­gig"
Buderus Logano G125 Eco,1315.0, Buderus Logano G125 Eco, 21 ,9701,/preisvergleich/Relocate/438870372.html?categoryId=18406&pos=1&price=1315.0&productid=2907011&sid=9701&type=offer,2907011,18406, 
"Viessmann Vitorondens 200-T (20,2 kW)",3539.0," Viessmann Vitorondens 200-T (20,2 kW)"," 24,6 ",9701,/preisvergleich/Relocate/511176755.html?categoryId=18406&pos=3&price=3539.0&productid=2835975&sid=9701&type=offer,2835975,18406, 
"Viessmann Vitorondens 200-T (24,6 kW)",3611.0," Viessmann Vitorondens 200-T (24,6 kW)", 22 ,9701,/preisvergleich/Relocate/445626783.html?categoryId=18406&pos=3&price=3611.0&productid=2835996&sid=9701&type=offer,2835996,18406, 
Buderus Logano G125 Eco-21,3750.0, Buderus Logano G125 Eco-21, 27 ,12041,/preisvergleich/Relocate/236218839.html?categoryId=18406&pos=5&price=3750.0&productid=1064559&sid=12041&type=offer,1064559,18406, 
Buderus Logano G125 BE Eco,2142.0, Buderus Logano G125 BE Eco, 17 ,9701,/preisvergleich/Relocate/441265494.html?categoryId=18406&pos=2&price=2142.0&productid=2907001&sid=9701&type=offer,2907001,18406, 
"Viessmann Vitorondens 200-T (28,9 kW)",3679.0," Viessmann Vitorondens 200-T (28,9 kW)", 22 ,9701,/preisvergleich/Relocate/445627142.html?categoryId=18406&pos=2&price=3679.0&productid=2835997&sid=9701&type=offer,2835997,18406, 
Buderus Logano G125 Eco,1315.0, Buderus Logano G125 Eco, 21 ,9701,/preisvergleich/Relocate/602463217.html?categoryId=18406&pos=2&price=1315.0&productid=2907011&sid=9701&type=offer,2907011,18406, 
"Viessmann Vitorondens 200-T (20,2 kW)",3564.99," Viessmann Vitorondens 200-T (20,2 kW)"," 24,6 ",276812,/preisvergleich/Relocate/387843682.html?categoryId=18406&pos=4&price=3564.99&productid=2835975&sid=276812&type=offer,2835975,18406," Viess­mann Vi­to­ron­dens 200-T mit Vi­to­tro­nic 200 20,2 kW, par­al­lel raum­luft­un­ab­hän­gig"
"Viessmann Vitorondens 200-T (24,6 kW)",3629.99," Viessmann Vitorondens 200-T (24,6 kW)", 22 ,276812,/preisvergleich/Relocate/387844136.html?categoryId=18406&pos=4&price=3629.99&productid=2835996&sid=276812&type=offer,2835996,18406," Viess­mann Vi­to­ron­dens 200-T mit Vi­to­tro­nic 200 24,6 kW, ko­axi­al raum­luft­un­ab­hän­gig senk­recht"
Buderus Logano G125 Eco-21,5550.0, Buderus Logano G125 Eco-21, 27 ,12041,/preisvergleich/Relocate/245586570.html?categoryId=18406&pos=6&price=5550.0&productid=1064559&sid=12041&type=offer,1064559,18406, 
