title,price,sid,linkwithprice,desc,categoryId,productid
Viessmann Vitodens 333-F (11 kW),3495.05,9701,/preisvergleich/Relocate/509655313.html?categoryId=18406&pos=1&price=3495.05&productid=1262303&sid=9701&type=offer, ,18406,1262303
Viessmann Vitodens 333-F (11 kW),3715.0,289859,/preisvergleich/Relocate/481802295.html?categoryId=18406&pos=2&price=3715.0&productid=1262303&sid=289859&type=offer," Viess­mann Vi­to­dens 333-F Brenn­wert­ther­me, 11 kW, B3TA010, VT200 RF Auf­putz l/r Viess­mann",18406,1262303
Vaillant ecoVIT exclusiv VKK 226/4 (22 kW),2410.0,9701,/preisvergleich/Relocate/590587171.html?categoryId=18406&pos=1&price=2410.0&productid=2498996&sid=9701&type=offer, ,18406,2498996
Viessmann Vitodens 333-F (11 kW),4600.0,289859,/preisvergleich/Relocate/481823956.html?categoryId=18406&pos=3&price=4600.0&productid=1262303&sid=289859&type=offer," Viess­mann Vi­to­dens 333-F Brenn­wert­ther­me, 11 kW, B3TA013, VT200 RF Auf­bau-Kit Viess­mann",18406,1262303
Vaillant ecoVIT exclusiv VKK 226/4 (22 kW),2410.0,9701,/preisvergleich/Relocate/435731463.html?categoryId=18406&pos=2&price=2410.0&productid=2498996&sid=9701&type=offer, ,18406,2498996
Vaillant ecoVIT exclusiv VKK 226/4 (22 kW),4075.0,223861,/preisvergleich/Relocate/327316463.html?categoryId=18406&pos=3&price=4075.0&productid=2498996&sid=223861&type=offer, Vail­lant ecoVIT ex­clu­siv Paket 2.01/2 Gas-Heiz­kes­sel VKK 226/4 E VRC 470/3,18406,2498996
Brötje EcoTherm Plus WGB-K 20 E,3240.0,9701,/preisvergleich/Relocate/509554165.html?categoryId=18406&pos=1&price=3240.0&productid=1369480&sid=9701&type=offer, ,18406,1369480
Viessmann Vitodens 333-F (19 kW),3584.35,9701,/preisvergleich/Relocate/444814547.html?categoryId=18406&pos=1&price=3584.35&productid=1262301&sid=9701&type=offer, ,18406,1262301
Viessmann Vitodens 200-W (19 kW),1861.1,293331,/preisvergleich/Relocate/585082031.html?categoryId=18406&pos=1&price=1861.1&productid=1064527&sid=293331&type=offer, Viess­mann Vi­to­dens 200-W 19 kW Gasther­me Gas­hei­zung Gas­brenn­wert­ther­me Therme B2HA002,18406,1064527
Vaillant ecoVIT exclusiv VKK 226/4 (22 kW),4075.0,223861,/preisvergleich/Relocate/327316106.html?categoryId=18406&pos=4&price=4075.0&productid=2498996&sid=223861&type=offer, Vail­lant ecoVIT ex­clu­siv Paket 2.02/2 Gas-Heiz­kes­sel VKK 226/4 LL VRC 470/3,18406,2498996
