title,price,sid,linkwithprice,desc,categoryId,productid
Brötje LogoBloc Unit L-UB 17 C (17 kW),3285.0,9701,/preisvergleich/Relocate/516356797.html?categoryId=18406&pos=1&price=3285.0&productid=1089218&sid=9701&type=offer, ,18406,1089218
Wolf ComfortLine CNU 17 Premio,1750.11,9701,/preisvergleich/Relocate/499316479.html?categoryId=18406&pos=1&price=1750.11&productid=3462066&sid=9701&type=offer, ,18406,3462066
Wolf ComfortLine CNU 17 Premio,1853.01,276812,/preisvergleich/Relocate/387848560.html?categoryId=18406&pos=2&price=1853.01&productid=3462066&sid=276812&type=offer," Wolf Com­fort­Li­ne Unit-Heiz­kes­sel CNU CNU 17, Öl­ge­blä­se­bren­ner Premio",18406,3462066
"Viessmann Vitorondens 200-T (107,3 kW)",7174.59,297223,/preisvergleich/Relocate/436143720.html?categoryId=18406&pos=1&price=7174.59&productid=3609539&sid=297223&type=offer," VIESS­MANN Vi­to­ron­dens 200-T 107, 3 kW",18406,3609539
Viessmann Vitola 200 (18 kW),1062.83,293331,/preisvergleich/Relocate/585082509.html?categoryId=18406&pos=1&price=1062.83&productid=1064514&sid=293331&type=offer, Viess­mann Öl­hei­zung Vitola 200 18 kW Stahl­kes­sel Öl­heiz­kes­sel VB2AN51,18406,1064514
Wolf ComfortLine CNK 63,1755.46,299105,/preisvergleich/Relocate/526943671.html?categoryId=18406&pos=1&price=1755.46&productid=3469785&sid=299105&type=offer, Wolf Com­fort­Li­ne Öl-/Gas-Heiz­kes­sel CNK-63 aus Stahl ohne Bren­ner 8906854,18406,3469785
Wolf ComfortLine CNU-CE 20 TH 150 L,1660.6,276812,/preisvergleich/Relocate/387842844.html?categoryId=18406&pos=1&price=1660.6&productid=3471151&sid=276812&type=offer," Wolf Com­fort­Li­ne Unit-Heiz­kes­sel CNU CNU 20, Öl­ge­blä­se­bren­ner TH",18406,3471151
Wolf ComfortLine CNU 17 Premio,1859.09,299105,/preisvergleich/Relocate/526943117.html?categoryId=18406&pos=3&price=1859.09&productid=3462066&sid=299105&type=offer, Wolf Com­fort­Li­ne Unit-Heiz­kes­sel CNU-17 aus Stahl mit Öl­ge­blä­se­bren­ner Premio 8906862,18406,3462066
"Viessmann Vitorondens 200-T (107,3 kW)",9581.8,276812,/preisvergleich/Relocate/387842508.html?categoryId=18406&pos=2&price=9581.8&productid=3609539&sid=276812&type=offer," Viess­mann Vi­to­ron­dens 200-T Vi­to­tro­nic 200 (KO2B) 107,3 kW",18406,3609539
Viessmann Vitola 200 (18 kW),1210.25,9701,/preisvergleich/Relocate/451184957.html?categoryId=18406&pos=2&price=1210.25&productid=1064514&sid=9701&type=offer, ,18406,1064514
Buderus Logano G215-85,4009.0,9701,/preisvergleich/Relocate/447671747.html?categoryId=18406&pos=1&price=4009.0&productid=1083998&sid=9701&type=offer, ,18406,1083998
Wolf ComfortLine CNK 63,1849.26,9701,/preisvergleich/Relocate/545008395.html?categoryId=18406&pos=2&price=1849.26&productid=3469785&sid=9701&type=offer, ,18406,3469785
Wolf ComfortLine CNU-CE 20 TH 150 L,2639.0,9701,/preisvergleich/Relocate/561367526.html?categoryId=18406&pos=2&price=2639.0&productid=3471151&sid=9701&type=offer, ,18406,3471151
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2010.0,289859,/preisvergleich/Relocate/481818859.html?categoryId=18406&pos=1&price=2010.0&productid=3711720&sid=289859&type=offer," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H ohne Re­ge­lung, ohne Spei­cher, ohne Ab­gas­pa­ket, ohne Mon­ta­ge­plat­te Jun­kers",18406,3711720
Wolf ComfortLine CNU 17 Premio,1955.47,9701,/preisvergleich/Relocate/544229085.html?categoryId=18406&pos=4&price=1955.47&productid=3462066&sid=9701&type=offer, ,18406,3462066
"Viessmann Vitorondens 200-T (107,3 kW)",10053.47,297223,/preisvergleich/Relocate/436143769.html?categoryId=18406&pos=3&price=10053.47&productid=3609539&sid=297223&type=offer," VIESS­MANN Vi­to­ron­dens 200-T 107, 3 kW mit Vit­ofl. 300 und Vi­to­tro­nic 200(KO2B)",18406,3609539
Viessmann Vitola 200 (18 kW),1323.0,9701,/preisvergleich/Relocate/536806651.html?categoryId=18406&pos=3&price=1323.0&productid=1064514&sid=9701&type=offer, ,18406,1064514
Buderus Logano G215-85,4009.0,9701,/preisvergleich/Relocate/445627034.html?categoryId=18406&pos=2&price=4009.0&productid=1083998&sid=9701&type=offer, ,18406,1083998
Wolf ComfortLine CNU-CE 20 TH 150 L,2730.0,9701,/preisvergleich/Relocate/515141761.html?categoryId=18406&pos=3&price=2730.0&productid=3471151&sid=9701&type=offer, ,18406,3471151
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2055.0,289859,/preisvergleich/Relocate/481813007.html?categoryId=18406&pos=2&price=2055.0&productid=3711720&sid=289859&type=offer," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H Mon­ta­ge­plat­te 258, ohne Re­ge­lung, ohne Spei­cher, ohne Ab­gas­pa­ket Jun­kers",18406,3711720
Wolf ComfortLine CNU 17 Premio,3168.29,276812,/preisvergleich/Relocate/501881528.html?categoryId=18406&pos=5&price=3168.29&productid=3462066&sid=276812&type=offer, Wolf Paket Stahl­heiz­kes­sel CNU-17 Premio Aus­füh­run,18406,3462066
